song,artist,album_cover_url
Corazón De Piedra,Xavi,https://i.scdn.co/image/ab67616d0000b273572e681dcdb302d7625b08c7
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,https://i.scdn.co/image/ab67616d0000b273bb5c54a68f9ce31f83b98de4
Cowgirls (Feat. Ernest),Morgan Wallen,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
Creepin' (With The Weeknd & 21 Savage),Metro Boomin,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
Crocodile Tearz,J. Cole,https://i.scdn.co/image/ab67616d0000b273b5e99d6177971707e6cd04f5
Cruel Summer,Taylor Swift,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
Cruel Summer - Live From Ts | The Eras Tour,Taylor Swift,https://i.scdn.co/image/ab67616d0000b273f669b4e7f0327c92909bc762
Crush Em,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b273a0e7694a73abed7372474d69
Cry,Benson Boone,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40
Cs,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b273644ef53fe49b7e71eed1689b
Cupid - Twin Ver.,Fifty Fifty,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb
Cybertruck,Bad Bunny,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec
Dance The Night (From Barbie The Album),Dua Lipa,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192
Dance The Night - From Barbie The Album,Dua Lipa,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192
Dancing In The Flames,The Weeknd,https://i.scdn.co/image/ab67616d0000b273f0e9b93cadbeb4d0227a59eb
Danger (Spider) (Offset & Jid),Metro Boomin,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f
Dangerous,21 Savage,https://i.scdn.co/image/ab67616d0000b273bbdceba2bf1867d4966d0347
Dark Red,Steve Lacy,https://i.scdn.co/image/ab67616d0000b2733d2dfa42f771cd458b194979
"Darling, I (Feat. Teezo Touchdown)","Tyler, The Creator",https://i.scdn.co/image/ab67616d0000b273232374a6a869e62826f3f1f7
Daughter,Beyoncé,https://i.scdn.co/image/ab67616d0000b2737d673fc006936df22215aee1
Dawns (Feat. Maggie Rogers),"Maggie Rogers, Zach Bryan",https://i.scdn.co/image/ab67616d0000b273a0a916db0206cc4d773f9013
Daylight,"David Kushner, Drake",https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
Days Come And Go,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b273a0e7694a73abed7372474d69
Dead Or Alive,Lil Tecca,https://i.scdn.co/image/ab67616d0000b273c4e6adea69105e6b6e214b96
Dear John (Taylor'S Version),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
Deck The Hall,Nat King Cole,https://i.scdn.co/image/ab67616d0000b27330dc6027fd140c7ba68e900c
Deck The Halls,Nat King Cole,https://i.scdn.co/image/ab67616d0000b27330dc6027fd140c7ba68e900c
Deep Satin,Zach Bryan,https://i.scdn.co/image/ab67616d0000b2732ebcfb3e92f937a1a4cc16f0
Deeper Well,Kacey Musgraves,https://i.scdn.co/image/ab67616d0000b27393b05c15358c25698086da89
Defying Gravity,"Ariana Grande, Cynthia Erivo, Wicked Movie Cast",https://i.scdn.co/image/ab67616d0000b27341ded89391c5350f6b8f991c
Deli,Ice Spice,https://i.scdn.co/image/ab67616d0000b2733a696fc544995ab8d0d6765f
Delresto (Echoes),Travis Scott,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
Delresto (Echoes) (Feat. Beyoncé),Travis Scott,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
Demons,Doja Cat,https://i.scdn.co/image/ab67616d0000b273d5fe37ec6d8f78ffc5437859
Desert Eagle,Beyoncé,https://i.scdn.co/image/ab67616d0000b2737d673fc006936df22215aee1
Devil I'Ve Been (Feat. Ernest),Post Malone,https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0
Devil Is A Lie,Tommy Richman,https://i.scdn.co/image/ab67616d0000b273f1708ceacc5e678619364239
Dial Drunk,Noah Kahan,https://i.scdn.co/image/ab67616d0000b27365a472d8326d4571bf725422
Dial Drunk (With Post Malone),"Noah Kahan, Post Malone",https://i.scdn.co/image/ab67616d0000b273f519f148d88bf65074b4a3a9
