song,artist,album_cover_url
Blue Christmas,Elvis Presley,https://i.scdn.co/image/ab67616d0000b273aa509be2dd24fb6c753cf292
Bodyguard,Beyoncé,https://i.scdn.co/image/ab67616d0000b273d9e3a369022053e02b4db2a2
Boy'S A Liar Pt. 2,"Ice Spice, Pinkpantheress",https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7
Brand New Dance,Eminem,https://i.scdn.co/image/ab67616d0000b2731633c43b5695735f7de36487
Brazil,Declan Mckenna,https://i.scdn.co/image/ab67616d0000b273ec8be21d32e663885fbb244e
Breaking News - Skit,Eminem,https://i.scdn.co/image/ab67616d0000b2731633c43b5695735f7de36487
Brown Eyed Girl,Van Morrison,https://i.scdn.co/image/ab67616d0000b2733f29a976eea00141514ab936
Burn,"Kanye West, Ty Dolla $Ign, ¥$",https://i.scdn.co/image/ab67616d0000b2735f4d67e6c3d62045e72d3775
Burning Down,Alex Warren,https://i.scdn.co/image/ab67616d0000b27380fd7741b86bdcc9940f90a8
But Daddy I Love Him,Taylor Swift,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33
Bye,Ariana Grande,https://i.scdn.co/image/ab67616d0000b2738b58d20f1b77295730db15b4
Bye Bye Bye - From Deadpool And Wolverine Soundtrack,*Nsync,https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909
"Calling (Spider-Man: Across The Spider-Verse) (Metro Boomin & Swae Lee, Nav, Feat. A Boogie Wit Da Hoodie)",Metro Boomin,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f
Calling For You (Feat. 21 Savage),Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
Calm Down (With Selena Gomez),Rema,https://i.scdn.co/image/ab67616d0000b273963265801aa5c9740ad159b7
Can'T Play Myself (A Tribute To Amy),Skepta,https://i.scdn.co/image/ab67616d0000b273af20826cd7ffc3bcedab235b
Can’T Catch Me Now - From The Hunger Games: The Ballad Of Songbirds & Snakes,"Flatland Cavalry, Olivia Rodrigo, Rachel Zegler",https://i.scdn.co/image/ab67616d0000b27303048c76bec2bdfa92703a5a
Cardigan,Taylor Swift,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc
Carnival,"Kanye West, Ty Dolla $Ign, ¥$",https://i.scdn.co/image/ab67616d0000b2735f4d67e6c3d62045e72d3775
